insee_code,name,postal_codes,department_code,department_name
02056,Beaumont-en-Beine,02300,02,Aisne
02057,Beaurevoir,02110,02,Aisne
02058,Beaurieux,02160,02,Aisne
02059,Beautor,02800,02,Aisne
02060,Beauvois-en-Vermandois,02590,02,Aisne
02061,Becquigny,02110,02,Aisne
02062,Belleau,02400,02,Aisne
02063,Bellenglise,02420,02,Aisne
02064,Belleu,02200,02,Aisne
02065,Bellicourt,02420,02,Aisne
02066,Benay,02440,02,Aisne
02067,Bergues-sur-Sambre,02450,02,Aisne
02068,Berlancourt,02250,02,Aisne
02069,Berlise,02340,02,Aisne
02070,Bernot,02120,02,Aisne
02071,Berny-Rivière,02290,02,Aisne
02072,Berrieux,02820,02,Aisne
02073,Berry-au-Bac,02190,02,Aisne
02074,Bertaucourt-Epourdon,02800,02,Aisne
02075,Berthenicourt,02240,02,Aisne
02076,Bertricourt,02190,02,Aisne
02078,Besmé,02300,02,Aisne
02079,Besmont,02500,02,Aisne
02080,Besny-et-Loizy,02870,02,Aisne
02081,Béthancourt-en-Vaux,02300,02,Aisne
02082,Beugneux,02210,02,Aisne
02083,Beuvardes,02130,02,Aisne
02084,Bézu-le-Guéry,02310,02,Aisne
02085,Bézu-Saint-Germain,02400,02,Aisne
02086,Bichancourt,02300,02,Aisne
02087,Bieuxy,02290,02,Aisne
02088,Bièvres,02860,02,Aisne
02089,Billy-sur-Aisne,02200,02,Aisne
02090,Billy-sur-Ourcq,02210,02,Aisne
02091,Blanzy-lès-Fismes,02160,02,Aisne
02093,Blérancourt,02300,02,Aisne
02094,Blesmes,02400,02,Aisne
02095,Bohain-en-Vermandois,02110,02,Aisne
02096,Bois-lès-Pargny,02270,02,Aisne
02097,Boncourt,02350,02,Aisne
02098,Bonneil,02400,02,Aisne
02099,Bonnesvalyn,02400,02,Aisne
02100,Bony,02420,02,Aisne
02101,Bosmont-sur-Serre,02250,02,Aisne
02102,Bouconville-Vauclair,02860,02,Aisne
02103,Boué,02450,02,Aisne
02104,Bouffignereux,02160,02,Aisne
02105,Bouresches,02400,02,Aisne
02106,Bourg-et-Comin,02160,02,Aisne
02107,Bourguignon-sous-Coucy,02300,02,Aisne
02108,Bourguignon-sous-Montbavin,02000,02,Aisne
02109,La Bouteille,02140,02,Aisne
02110,Braine,02220,02,Aisne
02111,Brancourt-en-Laonnois,02320,02,Aisne
02112,Brancourt-le-Grand,02110,02,Aisne
02114,Brasles,02400,02,Aisne
02115,Braye-en-Laonnois,02000,02,Aisne
02116,Braye-en-Thiérache,02140,02,Aisne
02117,Bray-Saint-Christophe,02480,02,Aisne
02118,Braye,02880,02,Aisne
02119,Brécy,02210,02,Aisne
02120,Brenelle,02220,02,Aisne
02121,Breny,02210,02,Aisne
02122,Brie,02870,02,Aisne
02123,Brissay-Choigny,02240,02,Aisne
02124,Brissy-Hamégicourt,02240,02,Aisne
02125,Brumetz,02810,02,Aisne
02126,Brunehamel,02360,02,Aisne
02127,Bruyères-sur-Fère,02130,02,Aisne
02128,Bruyères-et-Montbérault,02860,02,Aisne
02129,Bruys,02220,02,Aisne
02130,Bucilly,02500,02,Aisne
02131,Bucy-le-Long,02880,02,Aisne
02132,Bucy-lès-Cerny,02870,02,Aisne
02133,Bucy-lès-Pierrepont,02350,02,Aisne
02134,Buire,02500,02,Aisne
02135,Buironfosse,02620,02,Aisne
02136,Burelles,02140,02,Aisne
02137,Bussiares,02810,02,Aisne
02138,Buzancy,02200,02,Aisne
02139,Caillouël-Crépigny,02300,02,Aisne
02140,Camelin,02300,02,Aisne
02141,La Capelle,02260,02,Aisne
02142,Castres,02680,02,Aisne
02143,Le Catelet,02420,02,Aisne
02144,Caulaincourt,02490,02,Aisne
02145,Caumont,02300,02,Aisne
02146,Celles-lès-Condé,02330,02,Aisne
02148,Celles-sur-Aisne,02370,02,Aisne
02149,Cerizy,02240,02,Aisne
02150,Cerny-en-Laonnois,02860,02,Aisne
02151,Cerny-lès-Bucy,02870,02,Aisne
02152,Cerseuil,02220,02,Aisne
02153,Cessières-Suzy,02320,02,Aisne
02154,Chacrise,02200,02,Aisne
02155,Chaillevois,02000,02,Aisne
02156,Chalandry,02270,02,Aisne
02157,Chambry,02000,02,Aisne
02158,Chamouille,02860,02,Aisne
02159,Champs,02670,02,Aisne
02160,Chaourse,02340,02,Aisne
02162,La Chapelle-sur-Chézy,02570,02,Aisne
02163,Charly-sur-Marne,02310,02,Aisne
02164,Le Charmel,02850,02,Aisne
02165,Charmes,02800,02,Aisne
02166,Chartèves,02400,02,Aisne
02167,Chassemy,02370,02,Aisne
02168,Château-Thierry,02400,02,Aisne
02169,Châtillon-lès-Sons,02270,02,Aisne
02170,Châtillon-sur-Oise,02240,02,Aisne
02171,Chaudardes,02160,02,Aisne
02172,Chaudun,02200,02,Aisne
02173,Chauny,02300,02,Aisne
02174,Chavignon,02000,02,Aisne
02175,Chavigny,02880,02,Aisne
02176,Chavonne,02370,02,Aisne
02177,Chérêt,02860,02,Aisne
02178,Chermizy-Ailles,02860,02,Aisne
02179,Chéry-Chartreuve,02220,02,Aisne
02180,Chéry-lès-Pouilly,02000,02,Aisne
02181,Chéry-lès-Rozoy,02360,02,Aisne
02182,Chevennes,02250,02,Aisne
02183,Chevregny,02000,02,Aisne
02184,Chevresis-Monceau,02270,02,Aisne
02185,Chézy-en-Orxois,02810,02,Aisne
02186,Chézy-sur-Marne,02570,02,Aisne
02187,Chierry,02400,02,Aisne
02188,Chigny,02120,02,Aisne
02189,Chivres-en-Laonnois,02350,02,Aisne
02190,Chivres-Val,02880,02,Aisne
02191,Chivy-lès-Étouvelles,02000,02,Aisne
02192,Chouy,02210,02,Aisne
02193,Cierges,02130,02,Aisne
02194,Cilly,02250,02,Aisne
02195,Ciry-Salsogne,02220,02,Aisne
02196,Clacy-et-Thierret,02000,02,Aisne
02197,Clairfontaine,02260,02,Aisne
02198,Clamecy,02880,02,Aisne
02199,Clastres,02440,02,Aisne
02200,Clermont-les-Fermes,02340,02,Aisne
02201,Cœuvres-et-Valsery,02600,02,Aisne
02203,Coincy,02210,02,Aisne
02204,Coingt,02360,02,Aisne
02205,Colligis-Crandelain,02860,02,Aisne
02206,Colonfay,02120,02,Aisne
02207,Commenchon,02300,02,Aisne
02208,Concevreux,02160,02,Aisne
02209,Condé-en-Brie,02330,02,Aisne
02210,Condé-sur-Aisne,02370,02,Aisne
02211,Condé-sur-Suippe,02190,02,Aisne
02212,Condren,02700,02,Aisne
02213,Connigis,02330,02,Aisne
02214,Contescourt,02680,02,Aisne
02215,Corbeny,02820,02,Aisne
02216,Corcy,02600,02,Aisne
02217,Coucy-le-Château-Auffrique,02380,02,Aisne
02218,Coucy-lès-Eppes,02840,02,Aisne
02219,Coucy-la-Ville,02380,02,Aisne
02220,Coulonges-Cohan,02130,02,Aisne
02221,Coupru,02310,02,Aisne
02222,Courbes,02800,02,Aisne
02223,Courboin,02330,02,Aisne
02224,Courcelles-sur-Vesle,02220,02,Aisne
02225,Courchamps,02810,02,Aisne
02226,Courmelles,02200,02,Aisne
02227,Courmont,02130,02,Aisne
02228,Courtemont-Varennes,02850,02,Aisne
02229,Courtrizy-et-Fussigny,02820,02,Aisne
02230,Couvrelles,02220,02,Aisne
02231,Couvron-et-Aumencourt,02270,02,Aisne
02232,Coyolles,02600,02,Aisne
02233,Cramaille,02130,02,Aisne
02234,Craonne,02160,02,Aisne
02235,Craonnelle,02160,02,Aisne
02236,Crécy-au-Mont,02380,02,Aisne
02237,Crécy-sur-Serre,02270,02,Aisne
02238,Crépy,02870,02,Aisne
02239,Crézancy,02650,02,Aisne
02240,Croix-Fonsomme,02110,02,Aisne
02241,La Croix-sur-Ourcq,02210,02,Aisne
02242,Crouttes-sur-Marne,02310,02,Aisne
02243,Crouy,02880,02,Aisne
02244,Crupilly,02120,02,Aisne
02245,Cuffies,02880,02,Aisne
02246,Cugny,02480,02,Aisne
02248,Cuirieux,02350,02,Aisne
02249,Cuiry-Housse,02220,02,Aisne
02250,Cuiry-lès-Chaudardes,02160,02,Aisne
02251,Cuiry-lès-Iviers,02360,02,Aisne
02252,Cuissy-et-Geny,02160,02,Aisne
02253,Cuisy-en-Almont,02200,02,Aisne
02254,Cutry,02600,02,Aisne
02255,Cys-la-Commune,02220,02,Aisne
02256,Dagny-Lambercy,02140,02,Aisne
02257,Dallon,02680,02,Aisne
02258,Dammard,02470,02,Aisne
02259,Dampleux,02600,02,Aisne
02260,Danizy,02800,02,Aisne
02261,Dercy,02270,02,Aisne
02262,Deuillet,02700,02,Aisne
02263,Dhuizel,02220,02,Aisne
02264,Dizy-le-Gros,02340,02,Aisne
02265,Dohis,02360,02,Aisne
02266,Dolignon,02360,02,Aisne
02267,Dommiers,02600,02,Aisne
02268,Domptin,02310,02,Aisne
02269,Dorengt,02450,02,Aisne
02270,Douchy,02590,02,Aisne
02271,Dravegny,02130,02,Aisne
02272,Droizy,02210,02,Aisne
02273,Dury,02480,02,Aisne
02274,Ébouleau,02350,02,Aisne
02275,Effry,02500,02,Aisne
02276,Englancourt,02260,02,Aisne
02277,Épagny,02290,02,Aisne
02278,Éparcy,02500,02,Aisne
02279,Épaux-Bézu,02400,02,Aisne
02280,Épieds,02400,02,Aisne
02281,L'Épine-aux-Bois,02540,02,Aisne
02282,Eppes,02840,02,Aisne
02283,Erlon,02250,02,Aisne
02284,Erloy,02260,02,Aisne
02286,Esquéhéries,02170,02,Aisne
02287,Essigny-le-Grand,02690,02,Aisne
02288,Essigny-le-Petit,02100,02,Aisne
02289,Essises,02570,02,Aisne
02290,Essômes-sur-Marne,02400,02,Aisne
02291,Estrées,02420,02,Aisne
